"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2486","Kaiserslautern","7,7557","49,4262","271.0","https://cdc.dwd.de/rest/metadata/station/html/812300048103"
"5941","Reit im Winkl","12,4698","47,6754","686.0","https://cdc.dwd.de/rest/metadata/station/html/812300134823"
"701","Bremerhaven","8,5761","53,5332","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300855975"
"167","Anklam","13,6854","53,8409","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300189735"
"5371","Wasserkuppe","9,9427","50,4973","920.0","https://cdc.dwd.de/rest/metadata/station/html/812300246503"
"232","Augsburg","10,9417","48,4253","462.0","https://cdc.dwd.de/rest/metadata/station/html/812300255207"
"4127","Reichshof-Eckenhagen","7,6958","50,9906","347.0","https://cdc.dwd.de/rest/metadata/station/html/812300361895"
"3545","Neunkirchen-Wellesweiler","7,2297","49,3440","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300617063"
"2600","Kitzingen","10,1781","49,7363","193.0","https://cdc.dwd.de/rest/metadata/station/html/812300321959"
"1262","München-Flughafen","11,8134","48,3477","446.0","https://cdc.dwd.de/rest/metadata/station/html/812300610791"
"4280","Roth","11,1035","49,2162","386.0","https://cdc.dwd.de/rest/metadata/station/html/812300305127"
"164","Angermünde","13,9908","53,0316","54.0","https://cdc.dwd.de/rest/metadata/station/html/812300789223"
"4745","Soltau","9,7930","52,9604","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300747431"
"3158","Manschnow","14,5453","52,5468","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300969511"
"1266","Erfde","9,3162","54,2992","18.0","https://cdc.dwd.de/rest/metadata/station/html/812300550311"
"1001","Doberlug-Kirchhain","13,5747","51,6451","97.0","https://cdc.dwd.de/rest/metadata/station/html/812300613927"
"4175","Rheinfelden","7,7721","47,5590","283.0","https://cdc.dwd.de/rest/metadata/station/html/812300245223"
"1297","Eschwege","10,0138","51,2041","156.0","https://cdc.dwd.de/rest/metadata/station/html/812300298279"
"4480","Schlüchtern-Herolz","9,5533","50,3447","232.0","https://cdc.dwd.de/rest/metadata/station/html/812300303271"
"4271","Rostock-Warnemünde","12,0808","54,1803","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300076199"
"1332","Falkenberg,Kr.Rottal-Inn","12,7241","48,4832","471.0","https://cdc.dwd.de/rest/metadata/station/html/812300023143"
"7331","Hermaringen-Allewind","10,2674","48,6099","467.0","https://cdc.dwd.de/rest/metadata/station/html/812300487271"
"5745","Zehdenick","13,3268","52,9664","51.0","https://cdc.dwd.de/rest/metadata/station/html/812300912743"
"704","Bremervörde","9,1390","53,4451","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300211559"
"983","Dillingen/Donau-Fristingen","10,5600","48,5562","419.0","https://cdc.dwd.de/rest/metadata/station/html/812300786087"
"2814","Merklingen","9,7644","48,5122","687.0","https://cdc.dwd.de/rest/metadata/station/html/812300652583"
"2985","Lichtenhain-Mittelndorf","14,2094","50,9383","321.0","https://cdc.dwd.de/rest/metadata/station/html/812300400551"
"7431","Oberhaching-Laufzorn","11,5524","48,0130","604.0","https://cdc.dwd.de/rest/metadata/station/html/812300433639"
"1300","Eslohe","8,1565","51,2540","351.0","https://cdc.dwd.de/rest/metadata/station/html/812300989479"
"2023","Harburg","10,7062","48,7918","501.0","https://cdc.dwd.de/rest/metadata/station/html/812300966375"
"5480","Werl","7,8879","51,5763","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300643879"
"3527","Neukirchen-Hauptschwenda","9,4050","50,8923","500.0","https://cdc.dwd.de/rest/metadata/station/html/812300890919"
"3287","Michelstadt-Vielbrunn","9,0997","49,7177","453.0","https://cdc.dwd.de/rest/metadata/station/html/812300478567"
